time,neem,wais,gisp2
0.0,5.54199260180099e-05,1.320310686043352e-05,1.1301420552413019e-05
0.5,6.792442196070166e-05,1.760414248057803e-05,1.5701973687865874e-05
1.0,8.282978112439024e-05,2.3305484079401592e-05,2.1502702820962824e-05
1.5,0.00010103632721694946,3.070722580419008e-05,2.910365823674503e-05
2.0,0.00012204388040067162,4.000941472858643e-05,3.8904890220253666e-05
2.5,0.0001460525126106398,5.191221561034089e-05,5.150647419905048e-05
3.0,0.00017606330287310004,6.681572259673932e-05,6.730846045817665e-05
3.5,0.00021007553183722167,8.552012398235349e-05,8.711094956771451e-05
4.0,0.0002500899188538353,0.00010902565513539802,0.00011201407981152726
4.5,0.000296106463922941,0.0001370322454454085,0.00014201785118961495
5.0,0.0003511262460707848,0.0001730407187011363,0.00017902250255592302
5.5,0.0004131485459465359,0.0002160508395343667,0.0002230280339104516
6.0,0.0004851744425764405,0.00026806307868152904,0.00027603469667840646
6.5,0.0005672039359604985,0.000330077671510838,0.0003400427422849935
7.0,0.0006622381051249559,0.00040609555949515223,0.00041505217073021264
7.5,0.0007702769500698127,0.000495116507266257,0.0005030632334392698
8.0,0.0008933211901458997,0.0006021416916652257,0.0006060761818373708
8.5,0.0010303704656778015,0.0007271711126920582,0.0007250911416371185
9.0,0.001190428013744256,0.0008742057118196134,0.0008641086156889246
9.5,0.0013704927553190172,0.0010502471366253935,0.0010201282268549805
10.0,0.0015705646904020857,0.0012502942102683259,0.0012001508551235064
10.5,0.0017906438189934607,0.0014803483449576976,0.00141017725477012
11.0,0.00205073733460145,0.0017404095406935095,0.001640206168668792
11.5,0.002330838043717745,0.0020404801511579077,0.001910240111071581
12.0,0.0026409495430965006,0.0023905625300330393,0.0022002765677264285
12.5,0.00299107542949187,0.0027806543236367563,0.002530318052885393
13.0,0.0033812157029038535,0.0032207578856512076,0.002900364566548474
13.5,0.0038113703633324498,0.003710873216076391,0.003310416108715672
14.0,0.004291543007531814,0.004271005022276601,0.0037604726793869867
14.5,0.004811730038747791,0.004881148596887544,0.004260535535688448
15.0,0.005391938650488689,0.005561308647273513,0.004810604677620055
15.5,0.006032168842754507,0.006311485173434508,0.005410680105181808
16.0,0.006722417018791093,0.00713167817537053,0.006060761818373708
16.5,0.007482690372106752,0.008021887653081577,0.006780852331447811
