time,gisp2
0.0,1.1301420552413019e-05
0.5,1.5701973687865874e-05
1.0,2.1502702820962824e-05
1.5,2.910365823674503e-05
2.0,3.8904890220253666e-05
2.5,5.150647419905048e-05
3.0,6.730846045817665e-05
3.5,8.711094956771451e-05
4.0,0.00011201407981152726
4.5,0.00014201785118961495
5.0,0.00017902250255592302
5.5,0.0002230280339104516
6.0,0.00027603469667840646
6.5,0.0003400427422849935
7.0,0.00041505217073021264
7.5,0.0005030632334392698
8.0,0.0006060761818373708
8.5,0.0007250911416371185
9.0,0.0008641086156889246
9.5,0.0010201282268549805
10.0,0.0012001508551235064
10.5,0.00141017725477012
11.0,0.001640206168668792
11.5,0.001910240111071581
12.0,0.0022002765677264285
12.5,0.002530318052885393
13.0,0.002900364566548474
13.5,0.003310416108715672
14.0,0.0037604726793869867
14.5,0.004260535535688448
15.0,0.004810604677620055
15.5,0.005410680105181808
16.0,0.006060761818373708
16.5,0.006780852331447811
17.0,0.007550949130152061
17.5,0.008381053471612486
18.0,0.009291167870081146
18.5,0.010301294839810097
19.0,0.011301420552413018
19.5,0.012401558836276232
20.0,0.01360170969139974
20.5,0.014901873117783538
21.0,0.016202036544167336
21.5,0.017602212541811428
22.0,0.01910240111071581
22.5,0.020702602250880487
23.0,0.02230280339104516
23.5,0.02410302967373042
24.0,0.025803243385155387
24.5,0.02770348223910094
25.0,0.029503708521786198
25.5,0.03130393480447146
26.0,0.03310416108715672
26.5,0.034804374798581686
27.0,0.03640457593874637
27.5,0.037704739365130156
28.0,0.038804877648993374
28.5,0.039604978219075715
29.0,0.04020505364663746
29.5,0.040605103931678634
30.0,0.040705116502938926
30.5,0.040605103931678634
31.0,0.04030506621789776
31.5,0.039905015932856586
32.0,0.03930494050529484
32.5,0.03870486507773308
33.0,0.03790476450765075
33.5,0.03710466393756841
34.0,0.03630456336748607
34.5,0.03540445022614344
35.0,0.034404324513540516
35.5,0.03350421137219789
36.0,0.032504085659594964
36.5,0.03160397251825234
37.0,0.030603846805649412
37.5,0.029603721093046494
38.0,0.02870360795170386
38.5,0.02780349481036123
39.0,0.026803369097758312
39.5,0.02590325595641568
40.0,0.025103155386333342
40.5,0.024203042244990713
41.0,0.023302929103648083
41.5,0.022502828533565746
42.0,0.02170272796348341
42.5,0.02090262739340107
43.0,0.020202539394579024
43.5,0.01950245139575698
44.0,0.018702350825674643
44.5,0.018002262826852595
45.0,0.017402187399290843
45.5,0.0167020994004688
46.0,0.016102023972907043
46.5,0.015501948545345291
47.0,0.014901873117783538
47.5,0.014301797690221786
48.0,0.013801734833920323
48.5,0.013301671977618862
49.0,0.01270159655005711
49.5,0.012301546265015941
50.0,0.01180148340871448
50.5,0.011301420552413018
51.0,0.01090137026737185
51.5,0.010401307411070388
52.0,0.010001257126029221
52.5,0.00962120935524011
53.0,0.009231160327324971
53.5,0.008861113813661888
54.0,0.008501068557124838
54.5,0.008161025814839844
55.0,0.007820983072554851
55.5,0.007500942844521915
56.0,0.0071909038736150096
56.5,0.006890866159834133
57.0,0.006610830960305315
57.5,0.006330795760776496
58.0,0.0060707630754997365
58.5,0.005810730390222977
59.0,0.005560698962072247
59.5,0.005330670048173574
60.0,0.005100641134274902
60.5,0.004880613477502259
61.0,0.004670587077855646
61.5,0.004470561935335062
62.0,0.004280538049940506
62.5,0.004090514164545951
63.0,0.0039104915362774256
63.5,0.0037404701651349284
64.0,0.0035704487939924316
64.5,0.003410428679975964
65.0,0.0032604098230855257
65.5,0.0031103909661950872
66.0,0.0029703733664306784
66.5,0.002840357023792299
67.0,0.0027103406811539187
67.5,0.002590325595641568
68.0,0.0024703105101292174
68.5,0.002350295424616867
69.0,0.002240281596230545
69.5,0.002140269024970253
70.0,0.002040256453709961
70.5,0.0019402438824496688
71.0,0.0018502325683154059
71.5,0.001760221254181143
72.0,0.001680211197172909
72.5,0.0016002011401646753
73.0,0.0015201910831564415
73.5,0.001450182283274237
74.0,0.0013801734833920323
74.5,0.001310164683509828
75.0,0.0012501571407536527
75.5,0.0011901495979974772
76.0,0.0011301420552413018
76.5,0.0010801357696111557
77.0,0.0010201282268549805
77.5,0.0009731223183626432
78.0,0.0009251162841577029
78.5,0.0008791105013779684
79.0,0.00083510497002344
79.5,0.0007940998158067201
80.0,0.0007540947873026032
80.5,0.0007160900102236921
81.0,0.0006810856102825899
81.5,0.0006470813360540906
82.0,0.000614077187538194
82.5,0.0005830732904475035
83.0,0.0005540696447820188
83.5,0.000526066124829137
84.0,0.0004990627305888581
84.5,0.00047405958777378503
85.0,0.0004500565706713149
85.5,0.0004270536792814477
86.0,0.0004050509136041834
86.5,0.00038504839935212497
87.0,0.0003650458851000665
87.5,0.0003470436222732139
88.0,0.0003290413594463613
88.5,0.00031203922233211166
89.0,0.0002960372109304649
89.5,0.0002810353252414211
90.0,0.0002660334395523773
90.5,0.00025303180528853927
91.0,0.00024003017102470128
91.5,0.0002270285367608633
92.0,0.00021602715392223115
92.5,0.0002040256453709961
93.0,0.00019402438824496688
93.5,0.00018402313111893766
94.0,0.00017402187399290843
94.5,0.00016502074257948213
95.0,0.00015601961116605583
95.5,0.00014801860546523245
96.0,0.00014001759976440907
96.5,0.00013301671977618864
97.0,0.0001260158397879682
97.5,0.00011901495979974773
98.0,0.00011301420552413018
98.5,0.00010701345124851265
99.0,0.00010101269697289513
99.5,9.571203069609963e-05
100.0,9.061138956182474e-05
100.5,8.571077357007042e-05
101.0,8.111019529209699e-05
101.5,7.670964215664412e-05
102.0,7.260912673497215e-05
102.5,6.860862388456045e-05
103.0,6.490815874792965e-05
103.5,6.140771875381942e-05
104.0,5.8007291330969476e-05
104.5,5.4806889050640124e-05
105.0,5.180651191283136e-05
105.5,4.9006159917543175e-05
106.0,4.630582049351529e-05
106.5,4.370549364074769e-05
107.0,4.130519193050068e-05
107.5,3.900490279151396e-05
108.0,3.680462622378753e-05
108.5,3.4804374798581684e-05
109.0,3.290413594463613e-05
109.5,3.1003897090690586e-05
110.0,2.9303683379265615e-05
110.5,2.7603469667840647e-05
111.0,2.6103281098936266e-05
111.5,2.4603092530031883e-05
112.0,2.320291653238779e-05
112.5,2.1902753106003993e-05
113.0,2.0702602250880486e-05
113.5,1.950245139575698e-05
114.0,1.8402313111893764e-05
114.5,1.7402187399290842e-05
115.0,1.640206168668792e-05
115.5,1.5401935974085e-05
116.0,1.4601835404002663e-05
116.5,1.3701722262660031e-05
117.0,1.3001634263837985e-05
117.5,1.220153369375565e-05
118.0,1.1501445694933604e-05
118.5,1.090137026737185e-05
119.0,1.0201282268549805e-05
119.5,9.641211869492168e-06
120.0,9.091142727560561e-06
120.5,8.57107735700704e-06
121.0,8.08101575783161e-06
121.5,7.610956672908237e-06
122.0,7.170901359362951e-06
122.5,6.760849817195752e-06
123.0,6.370800789280613e-06
123.5,6.000754275617532e-06
124.0,5.6607115333325384e-06
124.5,5.330670048173574e-06
125.0,5.020631077266669e-06
125.5,4.730594620611821e-06
126.0,4.460560678209032e-06
126.5,4.200527992932272e-06
127.0,3.960497821907571e-06
127.5,3.730468908008899e-06
128.0,3.5104412512362562e-06
128.5,3.3104161087156718e-06
129.0,3.120392223321117e-06
129.5,2.9403695950525908e-06
130.0,2.7703482239100942e-06
130.5,2.6103281098936266e-06
131.0,2.450307995877159e-06
131.5,2.31029039611275e-06
132.0,2.1802740534743697e-06
132.5,2.05025771083599e-06
133.0,1.9302426253236395e-06
133.5,1.820228796937318e-06
134.0,1.720216225677026e-06
134.5,1.6202036544167337e-06
135.0,1.5201910831564415e-06
135.5,1.4301797690221786e-06
136.0,1.3501697120139447e-06
136.5,1.270159655005711e-06
137.0,1.2001508551235064e-06
137.5,1.1301420552413019e-06
138.0,1.0601332553590973e-06
138.5,1.000125712602922e-06
139.0,9.441186726971584e-07
139.5,8.891117585039977e-07
140.0,8.371052214486457e-07
140.5,7.880990615311026e-07
141.0,7.430934044639711e-07
141.5,6.990878731094425e-07
142.0,6.590828446053256e-07
142.5,6.200779418138116e-07
143.0,5.840734161601066e-07
143.5,5.500691419316072e-07
144.0,5.180651191283136e-07
144.5,4.88061347750226e-07
145.0,4.590577020847412e-07
145.5,4.320543078444623e-07
146.0,4.0705116502938926e-07
146.5,3.830481479269191e-07
147.0,3.6104538224965486e-07
147.5,3.3904261657239057e-07
148.0,3.190401023203321e-07
148.5,3.000377137808766e-07
149.0,2.830355766666269e-07
149.5,2.660334395523773e-07
150.0,2.500314281507305e-07
150.5,2.3502954246168668e-07
151.0,2.2102778248524576e-07
151.5,2.080261482214078e-07
152.0,1.9502451395756982e-07
152.5,1.8302300540633473e-07
153.0,1.7202162256770259e-07
153.5,1.6202036544167336e-07
154.0,1.5201910831564416e-07
154.5,1.4301797690221784e-07
155.0,1.3401684548879155e-07
155.5,1.2601583978796816e-07
156.0,1.180148340871448e-07
156.5,1.1101395409892435e-07
157.0,1.040130741107039e-07
157.5,9.751225697878491e-08
158.0,9.141149013190707e-08
158.5,8.571077357007042e-08
159.0,8.031009472201464e-08
159.5,7.520945358773974e-08
160.0,7.0508862738506e-08
160.5,6.600829703179285e-08
161.0,6.180776903886058e-08
161.5,5.790727875970919e-08
162.0,5.4206813623078376e-08
162.5,5.070637362896815e-08
163.0,4.75059713486388e-08
163.5,4.440558163956974e-08
164.0,4.150521707302127e-08
164.5,3.880487764899337e-08
165.0,3.630456336748607e-08
165.5,3.4004274228499346e-08
166.0,3.1703985089512624e-08
166.5,2.9703733664306785e-08
167.0,2.770348223910094e-08
167.5,2.590325595641568e-08
168.0,2.4203042244990716e-08
168.5,2.2602841104826038e-08
169.0,2.1002639964661363e-08
169.5,1.9602463967017273e-08
170.0,1.8302300540633473e-08
170.5,1.710214968550997e-08
171.0,1.5901998830386462e-08
171.5,1.4901873117783537e-08
172.0,1.3801734833920323e-08
172.5,1.2901621692577694e-08
173.0,1.2001508551235064e-08
173.5,1.1201407981152726e-08
174.0,1.040130741107039e-08
174.5,9.701219412248342e-09
175.0,9.021133927678358e-09
175.5,8.391054728738516e-09
176.0,7.810981815428821e-09
176.5,7.260912673497214e-09
177.0,6.750848560069724e-09
177.5,6.270788218020321e-09
178.0,5.820731647349006e-09
178.5,5.410680105181809e-09
179.0,5.020631077266668e-09
179.5,4.660585820729617e-09
180.0,4.320543078444623e-09
180.5,4.0105041075377175e-09
181.0,3.72046765088287e-09
181.5,3.4504337084800807e-09
182.0,3.2004022803293507e-09
182.5,2.9603721093046495e-09
183.0,2.7503457096580355e-09
183.5,2.540319310011422e-09
184.0,2.360296681742896e-09
184.5,2.18027405347437e-09
185.0,2.0202539394579027e-09
