time,wais
0.0,1.320310686043352e-05
0.5,1.760414248057803e-05
1.0,2.3305484079401592e-05
1.5,3.070722580419008e-05
2.0,4.000941472858643e-05
2.5,5.191221561034089e-05
3.0,6.681572259673932e-05
3.5,8.552012398235349e-05
4.0,0.00010902565513539802
4.5,0.0001370322454454085
5.0,0.0001730407187011363
5.5,0.0002160508395343667
6.0,0.00026806307868152904
6.5,0.000330077671510838
7.0,0.00040609555949515223
7.5,0.000495116507266257
8.0,0.0006021416916652257
8.5,0.0007271711126920582
9.0,0.0008742057118196134
9.5,0.0010502471366253935
10.0,0.0012502942102683259
10.5,0.0014803483449576976
11.0,0.0017404095406935095
11.5,0.0020404801511579077
12.0,0.0023905625300330393
12.5,0.0027806543236367563
13.0,0.0032207578856512076
13.5,0.003710873216076391
14.0,0.004271005022276601
14.5,0.004881148596887544
15.0,0.005561308647273513
15.5,0.006311485173434508
16.0,0.00713167817537053
16.5,0.008021887653081577
17.0,0.008992115960249798
17.5,0.010002353682146607
18.0,0.011102612587182734
18.5,0.012302895029040325
19.0,0.013503177470897918
19.5,0.014803483449576977
20.0,0.016103789428256035
20.5,0.01750411894375656
21.0,0.018904448459257085
21.5,0.02030477797475761
22.0,0.02160508395343667
22.5,0.023005413468937193
23.0,0.024305719447616253
23.5,0.025606025426295313
24.0,0.026806307868152905
24.5,0.027906566773189034
25.0,0.02900682567822516
25.5,0.029907037509618352
26.0,0.030807249341011547
26.5,0.03160743763558328
27.0,0.03220757885651207
27.5,0.03280772007744087
28.0,0.0333078377615482
28.5,0.03360790837201259
29.0,0.033907978982476994
29.5,0.03400800251929846
30.0,0.03410802605611993
30.5,0.03410802605611993
31.0,0.03400800251929846
31.5,0.033907978982476994
32.0,0.03360790837201259
32.5,0.0333078377615482
33.0,0.033007767151083806
33.5,0.03260767300379793
34.0,0.0321075553196906
34.5,0.03160743763558328
35.0,0.031107319951475945
35.5,0.030607202267368613
36.0,0.03000706104643982
36.5,0.02940691982551102
37.0,0.02870675506776076
37.5,0.028106613846831965
38.0,0.027506472625903167
38.5,0.026806307868152905
39.0,0.026106143110402644
39.5,0.025506001889473846
40.0,0.024805837131723584
40.5,0.024105672373973323
41.0,0.023505531153044525
41.5,0.022805366395294263
42.0,0.02220522517436547
42.5,0.021505060416615204
43.0,0.020904919195686406
43.5,0.020204754437936144
44.0,0.01960461321700735
44.5,0.01900447199607855
45.0,0.018404330775149757
45.5,0.01780418955422096
46.0,0.017304071870113628
46.5,0.016703930649184833
47.0,0.016203812965077502
47.5,0.015603671744148706
48.0,0.015103554060041376
48.5,0.014603436375934045
49.0,0.014103318691826714
49.5,0.013603201007719385
50.0,0.013103083323612055
50.5,0.01270298917632619
51.0,0.01220287149221886
51.5,0.011802777344932996
52.0,0.011402683197647132
52.5,0.011002589050361266
53.0,0.010602494903075403
53.5,0.010202400755789539
54.0,0.009822311315867967
54.5,0.009462226583310689
55.0,0.009102141850753412
55.5,0.008762061825560427
56.0,0.008431984154049589
56.5,0.008111908836220897
57.0,0.007801835872074353
57.5,0.007501765261609955
58.0,0.007211697004827704
58.5,0.006931631101727598
59.0,0.00666156755230964
59.5,0.006391504002891681
60.0,0.006141445160838016
60.5,0.0058913863187843515
61.0,0.0056613321840949795
61.5,0.0054312780494056075
62.0,0.005211226268398382
62.5,0.004991174487391156
63.0,0.004791127413748224
63.5,0.004591080340105293
64.0,0.004401035620144507
64.5,0.004220993253865868
65.0,0.004040950887587229
65.5,0.003870910874990737
66.0,0.003710873216076391
66.5,0.0035508355571620452
67.0,0.003400800251929846
67.5,0.003250764946697647
68.0,0.0031107319951475944
68.5,0.002980701397279689
69.0,0.002850670799411783
69.5,0.0027306425552260233
70.0,0.002610614311040264
70.5,0.002490586066854505
71.0,0.0023805601763508925
71.5,0.002280536639529426
72.0,0.0021805131027079604
72.5,0.002080489565886494
73.0,0.0019904683827471747
73.5,0.0019004471996078552
74.0,0.0018204283701506823
74.5,0.0017404095406935095
75.0,0.0016603907112363366
75.5,0.001580371881779164
76.0,0.0015103554060041375
76.5,0.0014403389302291114
77.0,0.0013803248081362316
77.5,0.001320310686043352
78.0,0.0012602965639504724
78.5,0.0012002824418575926
79.0,0.001140268319764713
79.5,0.0010902565513539802
80.0,0.001040244782943247
80.5,0.0009942339560053727
81.0,0.0009482231290674982
81.5,0.0009042127728660532
82.0,0.0008632031227692522
82.5,0.0008231937080406657
83.0,0.0007851847640485086
83.5,0.0007491762907927809
84.0,0.0007141680529052677
84.5,0.0006811602857541839
85.0,0.0006491527539713147
85.5,0.0006191456929248749
86.0,0.0005901388672466499
86.5,0.0005621322769366393
87.0,0.0005361261573630581
87.5,0.0005111202731576916
88.0,0.00048711462432053974
88.5,0.00046410921085160255
89.0,0.00044210403275088
89.5,0.0004220993253865868
90.0,0.0004020946180222936
90.5,0.000383090146026215
91.0,0.00036508590939835113
91.5,0.0003470816727704872
92.0,0.0003310779068790527
92.5,0.0003150741409876181
93.0,0.00030007061046439815
93.5,0.00028606731530939295
94.0,0.00027306425552260237
94.5,0.00026006119573581174
95.0,0.00024705813594902117
95.5,0.0002360555468986599
96.0,0.00022405272248008398
96.5,0.00021405036879793736
97.0,0.00020304777974757611
97.5,0.00019404566143364416
98.0,0.00018404330775149754
98.5,0.00017604142480578028
99.0,0.00016703930649184832
99.5,0.00015903742354613103
100.0,0.00015203577596862843
100.5,0.00014403389302291113
101.0,0.0001370322454454085
101.5,0.00013103083323612056
102.0,0.00012402918565861793
102.5,0.00011802777344932995
103.0,0.00011202636124004199
103.5,0.00010702518439896868
104.0,0.00010202400755789539
104.5,9.672276010635768e-05
105.0,9.192163033892731e-05
105.5,8.742057118196133e-05
106.0,8.301953556181683e-05
106.5,7.891857055213672e-05
107.0,7.501765261609954e-05
107.5,7.121675821688383e-05
108.0,6.761591089131106e-05
108.5,6.421511063938121e-05
109.0,6.0914333924272836e-05
109.5,5.781360428280739e-05
110.0,5.4912921714984866e-05
110.5,5.2112262683983816e-05
