Time,neem,gisp2,wais
363.00,-6.14E-14,0.00E+00,-2.84E-09
363.50,-6.61E-14,0.00E+00,-2.31E-09
364.00,-6.78E-14,0.00E+00,-1.66E-09
364.50,-6.61E-14,0.00E+00,-9.23E-10
365.00,-6.15E-14,0.00E+00,-1.49E-10
365.50,-5.41E-14,0.00E+00,6.28E-10
366.00,-4.31E-14,0.00E+00,1.37E-09
366.50,-2.94E-14,0.00E+00,2.03E-09
367.00,-1.40E-14,0.00E+00,2.59E-09
367.50,3.00E-15,0.00E+00,3.02E-09
368.00,2.00E-14,0.00E+00,3.28E-09
368.50,3.62E-14,0.00E+00,3.38E-09
369.00,5.01E-14,0.00E+00,3.31E-09
369.50,6.08E-14,0.00E+00,3.07E-09
370.00,6.79E-14,0.00E+00,2.67E-09
370.50,7.08E-14,0.00E+00,2.14E-09
371.00,7.01E-14,0.00E+00,1.51E-09
371.50,6.62E-14,0.00E+00,8.07E-10
372.00,5.93E-14,0.00E+00,6.58E-11
372.50,4.97E-14,0.00E+00,-6.73E-10
373.00,3.75E-14,0.00E+00,-1.37E-09
373.50,2.46E-14,0.00E+00,-2.00E-09
374.00,1.11E-14,0.00E+00,-2.51E-09
374.50,-4.22E-15,0.00E+00,-2.90E-09
375.00,-1.91E-14,0.00E+00,-3.14E-09
375.50,-3.38E-14,0.00E+00,-3.21E-09
376.00,-4.66E-14,0.00E+00,-3.12E-09
376.50,-5.68E-14,0.00E+00,-2.88E-09
377.00,-6.38E-14,0.00E+00,-2.49E-09
377.50,-6.72E-14,0.00E+00,-1.97E-09
378.00,-6.78E-14,0.00E+00,-1.36E-09
378.50,-6.54E-14,0.00E+00,-6.90E-10
379.00,-6.05E-14,0.00E+00,1.20E-11
379.50,-5.27E-14,0.00E+00,7.07E-10
380.00,-4.25E-14,0.00E+00,1.36E-09
380.50,-2.96E-14,0.00E+00,1.94E-09
381.00,-1.47E-14,0.00E+00,2.41E-09
381.50,1.33E-15,0.00E+00,2.76E-09
382.00,1.77E-14,0.00E+00,2.96E-09
382.50,3.36E-14,0.00E+00,3.01E-09
383.00,4.75E-14,0.00E+00,2.91E-09
383.50,5.81E-14,0.00E+00,2.66E-09
384.00,6.55E-14,0.00E+00,2.28E-09
384.50,6.88E-14,0.00E+00,1.78E-09
385.00,6.79E-14,0.00E+00,1.20E-09
385.50,6.37E-14,0.00E+00,5.62E-10
386.00,5.72E-14,0.00E+00,-9.68E-11
386.50,4.82E-14,0.00E+00,-7.44E-10
387.00,3.73E-14,0.00E+00,-1.35E-09
387.50,2.53E-14,0.00E+00,-1.87E-09
388.00,1.20E-14,0.00E+00,-2.30E-09
388.50,-2.44E-15,0.00E+00,-2.60E-09
389.00,-1.69E-14,0.00E+00,-2.77E-09
389.50,-3.09E-14,0.00E+00,-2.80E-09
390.00,-4.33E-14,0.00E+00,-2.68E-09
390.50,-5.31E-14,0.00E+00,-2.42E-09
391.00,-6.00E-14,0.00E+00,-2.05E-09
391.50,-6.34E-14,0.00E+00,-1.57E-09
392.00,-6.35E-14,0.00E+00,-1.02E-09
392.50,-6.13E-14,0.00E+00,-4.18E-10
393.00,-5.62E-14,0.00E+00,1.95E-10
393.50,-4.88E-14,0.00E+00,7.91E-10
394.00,-3.97E-14,0.00E+00,1.34E-09
394.50,-2.82E-14,0.00E+00,1.81E-09
395.00,-1.49E-14,0.00E+00,2.19E-09
395.50,0.00E+00,0.00E+00,2.45E-09
396.00,1.51E-14,0.00E+00,2.58E-09
396.50,2.91E-14,0.00E+00,2.57E-09
397.00,4.14E-14,0.00E+00,2.43E-09
397.50,5.14E-14,0.00E+00,2.17E-09
398.00,5.88E-14,0.00E+00,1.80E-09
398.50,6.29E-14,0.00E+00,1.34E-09
399.00,6.29E-14,0.00E+00,8.18E-10
399.50,5.98E-14,0.00E+00,2.58E-10
400.00,5.77E-14,0.00E+00,-2.71E-11
