time,neem
0.0,5.54199260180099e-05
0.5,6.792442196070166e-05
1.0,8.282978112439024e-05
1.5,0.00010103632721694946
2.0,0.00012204388040067162
2.5,0.0001460525126106398
3.0,0.00017606330287310004
3.5,0.00021007553183722167
4.0,0.0002500899188538353
4.5,0.000296106463922941
5.0,0.0003511262460707848
5.5,0.0004131485459465359
6.0,0.0004851744425764405
6.5,0.0005672039359604985
7.0,0.0006622381051249559
7.5,0.0007702769500698127
8.0,0.0008933211901458997
8.5,0.0010303704656778015
9.0,0.001190428013744256
9.5,0.0013704927553190172
10.0,0.0015705646904020857
10.5,0.0017906438189934607
11.0,0.00205073733460145
11.5,0.002330838043717745
12.0,0.0026409495430965006
12.5,0.00299107542949187
13.0,0.0033812157029038535
13.5,0.0038113703633324498
14.0,0.004291543007531814
14.5,0.004811730038747791
15.0,0.005391938650488689
15.5,0.006032168842754507
16.0,0.006722417018791093
16.5,0.007482690372106752
17.0,0.008312988902701485
17.5,0.009213312610575291
18.0,0.010203668689236481
18.5,0.01120402836465182
19.0,0.012404459975150231
19.5,0.01360489158564864
20.0,0.014905359163688583
20.5,0.01630586270927006
21.0,0.01780640222239307
21.5,0.019306941735516087
22.0,0.02090751721618063
22.5,0.022508092696845176
23.0,0.024208704145051257
23.5,0.025909315593257338
24.0,0.027509891073921884
24.5,0.02911046655458643
25.0,0.03061100606770944
25.5,0.03211154558083245
26.0,0.03341201315887239
26.5,0.0346124447693708
27.0,0.03571284041232768
27.5,0.03661316412020149
28.0,0.037313415892992224
28.5,0.03791363169824143
29.0,0.0384138115359491
29.5,0.038713919438573705
30.0,0.038813955406115236
30.5,0.038813955406115236
31.0,0.038713919438573705
31.5,0.038513847503490635
32.0,0.038213739600866034
32.5,0.03771355976315836
33.0,0.037213379925450686
33.5,0.03661316412020149
34.0,0.03601294831495228
34.5,0.03531269654216154
35.0,0.03451240880182927
35.5,0.03381215702903853
36.0,0.03291183332116472
36.5,0.03211154558083245
37.0,0.031211221872958644
37.5,0.030410934132626372
38.0,0.029510610424752563
38.5,0.02861028671687876
39.0,0.02770996300900495
39.5,0.026809639301131144
40.0,0.025909315593257338
40.5,0.025109027852925063
41.0,0.024208704145051257
41.5,0.023408416404718985
42.0,0.022508092696845176
42.5,0.021707804956512904
43.0,0.02090751721618063
43.5,0.020107229475848358
44.0,0.019406977703057618
44.5,0.018606689962725343
45.0,0.017906438189934606
45.5,0.01720618641714387
46.0,0.01650593464435313
46.5,0.015805682871562393
47.0,0.015205467066313186
47.5,0.01460525126106398
48.0,0.014005035455814777
48.5,0.013404819650565572
49.0,0.012804603845316368
49.5,0.012204388040067163
50.0,0.011704208202359493
50.5,0.01120402836465182
51.0,0.01070384852694415
51.5,0.010203668689236481
52.0,0.009783517625562036
52.5,0.009343359368379286
53.0,0.008923208304704845
53.5,0.008513060837784553
54.0,0.008122920564372572
54.5,0.007742783887714741
55.0,0.007382654404565218
55.5,0.007032528518169849
56.0,0.006702409825282786
56.5,0.006382294729149877
57.0,0.006082186826525275
57.5,0.005792082520654825
58.0,0.00551198181153853
58.5,0.005241884699176387
59.0,0.004981791183568399
59.5,0.004741704861468718
60.0,0.004511622136123189
60.5,0.00428153941077766
61.0,0.004071463878940439
61.5,0.0038713919438573704
62.0,0.003671320008774302
62.5,0.0034912552671995407
63.0,0.0033111905256247793
63.5,0.0031411293808041715
64.0,0.0029810718327377165
64.5,0.0028310178814254156
65.0,0.0026809639301131143
65.5,0.0025409135755549666
66.0,0.002410866817750972
66.5,0.0022808200599469777
67.0,0.002160776898897137
67.5,0.00205073733460145
68.0,0.001940697770305762
68.5,0.0018406618027642279
69.0,0.0017406258352226937
69.5,0.001650593464435313
70.0,0.0015605610936479323
70.5,0.0014805323196147048
71.0,0.0014005035455814776
71.5,0.0013204747715482503
72.0,0.0012504495942691765
72.5,0.0011804244169901026
73.0,0.001120402836465182
73.5,0.0010603812559402616
74.0,0.0010003596754153412
74.5,0.0009453398932674974
75.0,0.0008943215498213151
75.5,0.0008443035660505479
76.0,0.0007982870209814422
76.5,0.0007532708355877519
77.0,0.0007122560888957229
77.5,0.0006722417018791093
78.0,0.0006352283938887417
78.5,0.0005992154455737894
79.0,0.0005652032166096677
79.5,0.0005341920666717922
80.0,0.000504181276409332
80.5,0.00047517084582228707
81.0,0.00044816113458607284
81.5,0.0004231521427006893
82.0,0.0003991435104907211
82.5,0.00037613523795616827
83.0,0.0003551276847724461
83.5,0.0003351204912641393
84.0,0.00031511329775583247
84.5,0.00029710682359835634
85.0,0.0002801007091162955
85.5,0.0002640949543096501
86.0,0.00024908955917841996
86.5,0.00023508452372260517
87.0,0.00022107948826679042
87.5,0.00020807481248639095
88.0,0.00019607049638140686
88.5,0.0001850665399518381
89.0,0.00017406258352226938
89.5,0.00016405898676811597
90.0,0.00015405539001396253
90.5,0.00014505215293522447
91.0,0.00013704927553190175
91.5,0.000129046398128579
92.0,0.00012104352072525629
92.5,0.0001140410029973489
93.0,0.0001070384852694415
93.5,0.00010103632721694946
94.0,9.503416916445742e-05
94.5,8.94321549821315e-05
95.0,8.413024870243019e-05
95.5,7.912845032535348e-05
96.0,7.442675985090139e-05
96.5,7.002517727907388e-05
97.0,6.582366664232946e-05
97.5,6.192226390820962e-05
98.0,5.822093310917286e-05
98.5,5.471967424521916e-05
99.0,5.141848731634854e-05
99.5,4.8317372322560984e-05
100.0,4.541632926385649e-05
100.5,4.271535814023507e-05
101.0,4.011442298415518e-05
101.5,3.771355976315836e-05
102.0,3.541273250970308e-05
102.5,3.321194122378933e-05
103.0,3.121122187295864e-05
103.5,2.9310538489669497e-05
104.0,2.7509891073921884e-05
104.5,2.5809279625715804e-05
105.0,2.4308740112592792e-05
105.5,2.2808200599469777e-05
106.0,2.14076970538883e-05
106.5,2.010722947584836e-05
107.0,1.8806761897808413e-05
107.5,1.770636625485154e-05
108.0,1.6605970611894664e-05
108.5,1.550557496893779e-05
109.0,1.4605251261063982e-05
109.5,1.3704927553190174e-05
110.0,1.2804603845316366e-05
110.5,1.2004316104984094e-05
111.0,1.120402836465182e-05
111.5,1.0503776591861082e-05
112.0,9.873549996349418e-06
112.5,9.243323400837752e-06
113.0,8.653111192342702e-06
113.5,8.102913370864264e-06
114.0,7.582726339648286e-06
114.5,7.092550098694769e-06
115.0,6.632384648003712e-06
115.5,6.202229987575115e-06
116.0,5.792082520654825e-06
116.5,5.421949440751149e-06
117.0,5.061819957601626e-06
117.5,4.72169766796041e-06
