gas_age_ce,mean_concentration_ppb
1906.2,926.3894317
1897.6,888.0522823
1889.8,860.129139
1881.7,837.0927178
1870.4,816.2760117
1859.5,807.061446
1854.1,795.2811
1844.3,784.1317899
1834.7,778.4483927
1824,767.0135768
1819.4,753.4143324
1807.5,740.9461767
1806.5,739.2731192
1801,742.9222987
1799.2,737.7085667
1790.2,735.6135326
1789.1,731.5140541
1782.2,734.2098172
1780.5,729.5682301
1772.7,727.4797236
1764.7,718.7486793
1753.2,710.9437637
1744.7,704.7344239
1737.7,707.4933813
1728.7,697.8938048
1720.3,693.2708984
1710.9,687.4963412
1702.1,686.7953335
1693.8,697.4838746
1686.4,700.1106616
1675.6,699.2127955
1666.6,694.585049
1659.7,692.7248168
1638.9,690.0585679
1630.5,690.488627
1626,691.181348
1614,688.8992259
1606.8,686.3581764
1594.4,682.6310473
1588.4,680.7374331
1579.9,684.955583
1572.9,692.3659746
1566.5,698.9843591
1554.8,713.0036126
1544,715.0139289
1537.5,713.448156
1525.5,708.1690456
1519.5,709.8677733
1509.2,709.9475389
1503.4,708.7716957
1491.1,695.7587935
1483,686.5863769
1473.3,683.3460748
1463.8,678.4623191
1458.3,681.0759046
1447.9,681.476312
1437.1,681.5872554
1428.5,678.1892483
1419,677.3593881
1411.9,672.4406865
1403.1,674.8725101
1396.2,678.9523071
1381.6,683.2107102
1371.8,684.2268796
1368.9,683.1550406
1359.9,680.4402237
1347.1,678.6625472
1340.4,682.1267898
1330,686.5214289
1319.1,689.232606
1312.5,689.0503678
1301.4,694.2180493
1293,692.8023752
1291.9,692.7786019
1287.4,689.8165904
1276.6,681.5309123
1270.1,681.8325514
1267.5,683.5774354
1260.7,675.6944426
1252,678.6519688
1244.4,672.8421019
1237.9,671.7466083
1223.7,671.4274517
1211.3,681.7709649
1203.9,692.8104099
1197.3,692.8531794
1196.9,699.5978453
1190.3,697.5417454
1187.7,694.0586538
1164,694.6999618
1154.4,694.3451815
1127.5,686.7716465
1114.1,685.7139169
1099,688.058136
1086.4,682.8237933
1072.7,673.3187246
1064.6,673.603355
1059,675.521562
1053.6,680.5342829
1031.7,689.0318238
1027.4,679.394331
1024.4,682.6501072
1015.5,681.0552595
1001.1,668.9354727
